N_MACHINES:2	N_JOBS:50	CHARGING_TIME:60	INITIAL_CHARGE:10
D:[
51	51
34	34
42	42
43	43
7	7
3	3
39	39
32	32
25	25
41	41
38	38
15	15
78	78
33	33
39	39
2	2
21	21
39	39
17	17
26	26
51	51
20	20
23	23
63	63
28	28
6	6
31	31
39	39
3	3
23	23
3	3
44	44
39	39
30	30
25	25
6	6
25	25
12	12
18	18
18	18
23	23
4	4
15	15
28	28
48	48
9	9
33	33
4	4
12	12
34	34
]
w:[
1.3	1.3
6.0	6.0
5.3	5.3
4.7	4.7
1.2	1.2
2.2	2.2
4.6	4.6
5.1	5.1
9.6	9.6
1.2	1.2
4.5	4.5
1.6	1.6
0.4	0.4
2.4	2.4
6.8	6.8
9.5	9.5
3.0	3.0
4.8	4.8
3.6	3.6
1.7	1.7
1.6	1.6
8.5	8.5
1.2	1.2
4.2	4.2
5.3	5.3
0.9	0.9
4.2	4.2
6.4	6.4
8.0	8.0
8.1	8.1
6.1	6.1
3.4	3.4
8.4	8.4
5.1	5.1
2.3	2.3
1.8	1.8
8.9	8.9
5.0	5.0
4.1	4.1
8.9	8.9
7.9	7.9
4.6	4.6
0.5	0.5
7.1	7.1
3.8	3.8
9.0	9.0
1.5	1.5
4.5	4.5
1.2	1.2
9.6	9.6
]
