N_MACHINES:10	N_JOBS:200	CHARGING_TIME:60	INITIAL_CHARGE:10
D:[
14	14	14	14	14	14	14	14	14	14
45	45	45	45	45	45	45	45	45	45
45	45	45	45	45	45	45	45	45	45
76	76	76	76	76	76	76	76	76	76
12	12	12	12	12	12	12	12	12	12
28	28	28	28	28	28	28	28	28	28
24	24	24	24	24	24	24	24	24	24
16	16	16	16	16	16	16	16	16	16
33	33	33	33	33	33	33	33	33	33
8	8	8	8	8	8	8	8	8	8
10	10	10	10	10	10	10	10	10	10
80	80	80	80	80	80	80	80	80	80
23	23	23	23	23	23	23	23	23	23
14	14	14	14	14	14	14	14	14	14
21	21	21	21	21	21	21	21	21	21
53	53	53	53	53	53	53	53	53	53
39	39	39	39	39	39	39	39	39	39
22	22	22	22	22	22	22	22	22	22
30	30	30	30	30	30	30	30	30	30
55	55	55	55	55	55	55	55	55	55
27	27	27	27	27	27	27	27	27	27
20	20	20	20	20	20	20	20	20	20
72	72	72	72	72	72	72	72	72	72
47	47	47	47	47	47	47	47	47	47
54	54	54	54	54	54	54	54	54	54
34	34	34	34	34	34	34	34	34	34
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
29	29	29	29	29	29	29	29	29	29
68	68	68	68	68	68	68	68	68	68
39	39	39	39	39	39	39	39	39	39
16	16	16	16	16	16	16	16	16	16
47	47	47	47	47	47	47	47	47	47
10	10	10	10	10	10	10	10	10	10
14	14	14	14	14	14	14	14	14	14
15	15	15	15	15	15	15	15	15	15
84	84	84	84	84	84	84	84	84	84
19	19	19	19	19	19	19	19	19	19
47	47	47	47	47	47	47	47	47	47
49	49	49	49	49	49	49	49	49	49
67	67	67	67	67	67	67	67	67	67
12	12	12	12	12	12	12	12	12	12
12	12	12	12	12	12	12	12	12	12
80	80	80	80	80	80	80	80	80	80
5	5	5	5	5	5	5	5	5	5
7	7	7	7	7	7	7	7	7	7
73	73	73	73	73	73	73	73	73	73
56	56	56	56	56	56	56	56	56	56
70	70	70	70	70	70	70	70	70	70
87	87	87	87	87	87	87	87	87	87
3	3	3	3	3	3	3	3	3	3
47	47	47	47	47	47	47	47	47	47
74	74	74	74	74	74	74	74	74	74
10	10	10	10	10	10	10	10	10	10
33	33	33	33	33	33	33	33	33	33
48	48	48	48	48	48	48	48	48	48
61	61	61	61	61	61	61	61	61	61
13	13	13	13	13	13	13	13	13	13
17	17	17	17	17	17	17	17	17	17
18	18	18	18	18	18	18	18	18	18
20	20	20	20	20	20	20	20	20	20
64	64	64	64	64	64	64	64	64	64
48	48	48	48	48	48	48	48	48	48
85	85	85	85	85	85	85	85	85	85
37	37	37	37	37	37	37	37	37	37
20	20	20	20	20	20	20	20	20	20
24	24	24	24	24	24	24	24	24	24
26	26	26	26	26	26	26	26	26	26
5	5	5	5	5	5	5	5	5	5
18	18	18	18	18	18	18	18	18	18
59	59	59	59	59	59	59	59	59	59
13	13	13	13	13	13	13	13	13	13
66	66	66	66	66	66	66	66	66	66
61	61	61	61	61	61	61	61	61	61
21	21	21	21	21	21	21	21	21	21
47	47	47	47	47	47	47	47	47	47
11	11	11	11	11	11	11	11	11	11
12	12	12	12	12	12	12	12	12	12
38	38	38	38	38	38	38	38	38	38
53	53	53	53	53	53	53	53	53	53
31	31	31	31	31	31	31	31	31	31
