N_MACHINES:2	N_JOBS:50	CHARGING_TIME:60	INITIAL_CHARGE:10
D:[
21	21
11	11
7	7
6	6
17	17
5	5
8	8
18	18
10	10
14	14
28	28
17	17
10	10
4	4
17	17
14	14
13	13
11	11
11	11
18	18
19	19
12	12
4	4
2	2
23	23
17	17
0	0
24	24
1	1
10	10
10	10
7	7
6	6
18	18
2	2
19	19
9	9
6	6
6	6
16	16
1	1
2	2
5	5
17	17
5	5
3	3
11	11
19	19
9	9
3	3
]
w:[
8.5	8.5
0.6	0.6
1.0	1.0
0.5	0.5
5.4	5.4
2.5	2.5
6.9	6.9
1.4	1.4
3.1	3.1
7.5	7.5
2.1	2.1
4.5	4.5
3.5	3.5
7.1	7.1
6.5	6.5
8.1	8.1
8.7	8.7
3.6	3.6
7.5	7.5
3.1	3.1
5.3	5.3
3.1	3.1
5.2	5.2
3.6	3.6
2.5	2.5
2.2	2.2
1.4	1.4
0.6	0.6
9.5	9.5
6.3	6.3
5.5	5.5
1.3	1.3
2.4	2.4
2.0	2.0
7.4	7.4
5.3	5.3
3.6	3.6
7.3	7.3
7.3	7.3
6.3	6.3
7.4	7.4
1.1	1.1
4.5	4.5
6.7	6.7
2.3	2.3
4.1	4.1
3.8	3.8
1.0	1.0
8.0	8.0
2.1	2.1
]
